Name,SMILES,hit_inh,hit_kill,hit_inh_epi_unc,hit_kill_epi_unc
triclosan,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,0.010232437304997196,0.015759015159953076,4.8423454846631713e-05,0.0001417453234915892
amiselimod,CCCCCCCOc1ccc(CCC(N)(CO)CO)cc1C(F)(F)F,0.023644243832677603,0.1439292567471663,0.000503677778492586,0.003901027148760731
silver-sulfadiazine,Nc1ccc(cc1)S(=O)(=O)N([Ag])c1ncccn1,0.007268386462480218,0.01222871613274871,6.833031345301617e-05,0.00021030408804067354
visomitin,"CC1=C(C)C(=O)C(CCCCCCCCCC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)=CC1=O |c:1,38|",0.10377278675635655,0.2440233255426089,0.0028742694487902984,0.01585495220781442
colistin,"CC[C@@H](C)CCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O |a:10,17,18,24,31,37,41,48,55,63,71,78,&1:2|",0.22679844498634338,0.3161508689324061,0.03631240506991462,0.03202050160837105
LTX-315,NCCCC[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C(c1ccccc1)c1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,0.1074886079877615,0.10789528985818227,0.0122039627467646,0.0004105420238732258
KHK-IN-1,CSc1ccccc1Nc1nc(nc2c(NCC3CC3)ncnc12)N1CCNCC1,0.03158011079995049,0.042254564897840886,0.0015720800096650535,0.0010605337231411915
stattic,[O-][N+](=O)c1ccc2C=CS(=O)(=O)c2c1 |c:7|,0.0058225242828484625,0.004430071430609435,3.080492984971875e-05,3.0392495698558602e-05
BAY-11-7082,Cc1ccc(cc1)S(=O)(=O)\C=C\C#N,8.880549861108497e-06,5.875255745498483e-05,4.191284344836728e-11,2.8117579790358973e-09
AZ505,Oc1ccc(CCNCCN(C2CCCCC2)C(=O)CCNCCc2ccc(Cl)c(Cl)c2)c2OCC(=O)Nc12,0.026106486562639475,0.04888930885742108,0.0005108713263088954,0.0017393151769514216
levofloxacin,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O,0.8297550280888876,0.2556792125105858,0.037671994090985886,0.026978381277988794
gemifloxacin,CO\N=C1/CN(C[C@@H]1CN)c1nc2n(cc(C(O)=O)c(=O)c2cc1F)C1CC1 |&1:7|,0.7644286354382833,0.33003065176308155,0.025140361925495194,0.08785605881263397
sulopenem,"C[C@@H](O)[C@@H]1[C@H]2SC(S[C@H]3CC[S@@](=O)C3)=C(N2C1=O)C(O)=O |&1:11,c:14|",0.4967530816793442,0.005855889447654287,0.04889370193339918,1.1595289026984095e-05
tebipenem,"C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(SC3CN(C3)C3=NCCS3)=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C |c:19,t:14|",0.036271612146568565,0.005367996173797944,0.0008311283228472033,4.504165088573737e-05
cefmenoxime,[H][C@]12SCC(CSc3nnnn3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\c1csc(N)n1)C(O)=O |c:13|,0.749493400255839,0.016712600020885777,0.0059459748167264405,0.00017286826470028663
orbifloxacin,C[C@H]1CN(C[C@@H](C)N1)c1c(F)c(F)c2c(c1F)n(cc(C(O)=O)c2=O)C1CC1,0.8368349671363831,0.5131535083055496,0.029870280762909356,0.048905848202085135
gamithromycin,[H][C@@]1(C[C@@](C)(OC)[C@@H](O)[C@H](C)O1)O[C@H]1[C@H](C)[C@@H](O[C@]2([H])O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)N(CCC)C[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C,0.02813404379412532,0.017215939587913454,0.0003178584076965773,0.0002648026531770163
lomefloxacin,CCn1cc(C(O)=O)c(=O)c2cc(F)c(N3CCN[C@@H](C)C3)c(F)c12 |&1:19|,0.8113365372021993,0.3825306122501691,0.04912161559717355,0.04370660040543186
rifabutin,"CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C2=O)c2C4=NC5(CCN(CC(C)C)CC5)NC4=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(=O)c2c(O)c3C |c:36,t:3,15,30,38|",0.007046266601112923,0.00640775919718332,3.063274248494456e-05,2.526382263094252e-05
piperacillin,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)c2ccccc2)C(=O)C1=O,0.7067494889100393,0.026096384972333908,0.0536117941778639,0.000349727566700736
floxuridine,OC[C@H]1O[C@H](C[C@@H]1O)n1cc(F)c(=O)[nH]c1=O,0.023399324001123507,0.005888412442194142,0.00039974500418656946,1.6760248472325836e-05
nitrofurantoin,[O-][N+](=O)c1ccc(\C=N\N2CC(=O)NC2=O)o1,0.6547559599081675,0.426799309750398,0.10022384804067762,0.07355897465962852
methacycline,"[H][C@]12[C@H](O)[C@@]3([H])[C@H](N(C)C)C(=O)[C@H](C(N)=O)C(=O)[C@@]3(O)C(=O)[C@H]1C(=O)c1c(O)cccc1C2=C |&1:22,&2:12|",0.6120980381965637,0.17247889935970306,0.027308759094090362,0.006939818135729118
minocycline,"[H][C@@]12Cc3c(ccc(O)c3C(=O)[C@@H]1C(=O)[C@]1(O)C(=O)[C@H](C(N)=O)C(=O)[C@@H](N(C)C)[C@]1([H])C2)N(C)C |&1:19,&2:12|",0.6672923465569814,0.17549009372790655,0.047327173041990245,0.004702614797457754
diaveridine,COc1ccc(Cc2cnc(N)nc2N)cc1OC,0.009560879416919002,0.009792564320378006,5.031069817968193e-05,0.0001353784796586466
cefixime,Nc1nc(cs1)C(=N\OCC(O)=O)\C(=O)N[C@H]1[C@H]2SCC(C=C)=C(N2C1=O)C(O)=O |c:23|,0.7080432176589966,0.014680078990447024,0.016792298464241167,0.00012066308987919909
demeclocycline,"[H][C@]12C[C@@]3([H])[C@H](N(C)C)C(=O)[C@@H](C(N)=O)C(=O)[C@@]3(O)C(=O)[C@H]1C(=O)c1c(O)ccc(Cl)c1[C@H]2O |&1:11,&2:21|",0.6978368163108826,0.1878908375898997,0.03767577022548352,0.008021903023292616
Ro-3,COc1cc(Cc2cnc(N)nc2N)c(cc1OC)C(C)C,0.009791824074151615,0.01418953532508264,5.086003404223923e-05,0.00021713249296334168
erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0.026337566164632637,0.010357358366794264,0.00041913328829303525,9.947979364050449e-05
cefaclor,N[C@@H](C(=O)N[C@H]1[C@H]2SCC(Cl)=C(N2C1=O)C(O)=O)c1ccccc1 |c:10|,0.10781039763242006,0.0049226875707972795,0.007246683053279913,1.37817435633276e-05
cefodizime,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(CSc3nc(C)c(CC(O)=O)s3)=C(N2C1=O)C(O)=O)c1csc(N)n1 |c:24|,0.7651620705922445,0.03332935258125266,0.012411710142727213,0.000512914934240607
auranofin,CCP(CC)(CC)=[Au]S[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,0.009744802014211018,0.03153007691980747,9.049626720677181e-05,0.0011577369747143085
amodiaquine,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,0.005210738479339246,0.019600771339810308,3.061778535997292e-05,0.00038517188523286527
enoxacin,CCn1cc(C(O)=O)c(=O)c2cc(F)c(nc12)N1CCNCC1,0.7832550207773844,0.21133844802776972,0.043494049278311624,0.032580210947673105
hydroquinone,Oc1ccc(O)cc1,0.006348151247948408,0.011229352559894323,2.0797904580586567e-05,0.00012621866359012772
2-methyl-5-nitrophenol,Cc1ccc(cc1O)[N+]([O-])=O,0.026810412605603535,0.009097558805175746,0.00017109737762203593,4.5465350573231895e-05
cimetidine,CN\C(NCCSCc1[nH]cnc1C)=N/C#N,6.165519259463774e-05,0.00021128134784061578,1.92714539916688e-09,2.24773410170335e-08
NN-DNJ,CCCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,0.005164877506710279,0.011405172539525665,1.3802659611092301e-05,7.940501907443745e-05
vecuronium,CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1,0.013104221550747752,0.027016154825105332,7.905267747680498e-05,0.0004640260981596496
LY411575,C[C@H](NC(=O)[C@@H](O)c1cc(F)cc(F)c1)C(=O)N[C@H]1c2ccccc2-c2ccccc2N(C)C1=O,0.007691492307155083,0.017283174442127347,2.753863118905142e-05,0.0001799572090033925
FGIN-1-27,CCCCCCN(CCCCCC)C(=O)Cc1c([nH]c2ccccc12)-c1ccc(F)cc1,0.01715630479156971,0.07099115801975131,0.00013980689624951137,0.0023368145997308275
allopurinol-riboside,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ncc2c(O)ncnc12,0.009392664428439446,0.007364474506836897,0.00016250036982080017,9.491325791709006e-05
